"Date","Price","Open","High","Low","Change %"
"Nov 24, 2020","104.43","104.56","104.77","104.14","-0.11%"
"Nov 23, 2020","104.54","103.86","104.65","103.68","0.66%"
"Nov 20, 2020","103.85","103.74","103.92","103.70","0.13%"
"Nov 19, 2020","103.72","103.82","104.22","103.71","-0.11%"
"Nov 18, 2020","103.83","104.21","104.22","103.64","-0.33%"
"Nov 17, 2020","104.17","104.58","104.63","104.07","-0.37%"
"Nov 16, 2020","104.56","104.89","105.14","104.36","-0.06%"
"Nov 13, 2020","104.62","105.14","105.17","104.56","-0.48%"
"Nov 12, 2020","105.12","105.43","105.49","105.07","-0.28%"
"Nov 11, 2020","105.42","105.31","105.69","105.00","0.13%"
"Nov 10, 2020","105.28","105.38","105.50","104.79","-0.08%"
"Nov 09, 2020","105.36","103.35","105.66","103.19","1.96%"
"Nov 06, 2020","103.33","103.51","103.77","103.17","-0.14%"
"Nov 05, 2020","103.47","104.52","104.57","103.44","-0.97%"
"Nov 04, 2020","104.48","104.47","105.35","104.14","0.02%"
"Nov 03, 2020","104.46","104.72","104.82","104.43","-0.24%"
"Nov 02, 2020","104.71","104.57","104.96","104.54","0.07%"
"Oct 30, 2020","104.64","104.64","104.75","104.12","0.03%"
"Oct 29, 2020","104.61","104.36","104.74","104.03","0.31%"
"Oct 28, 2020","104.29","104.42","104.57","104.11","-0.11%"
"Oct 27, 2020","104.40","104.83","104.90","104.39","-0.40%"
"Oct 26, 2020","104.82","104.75","105.07","104.64","0.12%"
"Oct 23, 2020","104.69","104.85","104.94","104.54","-0.12%"
"Oct 22, 2020","104.82","104.59","104.93","104.46","0.25%"
"Oct 21, 2020","104.56","105.50","105.53","104.33","-0.88%"
"Oct 20, 2020","105.49","105.43","105.75","105.39","0.07%"
"Oct 19, 2020","105.42","105.39","105.51","105.29","0.02%"
"Oct 16, 2020","105.40","105.46","105.46","105.18","-0.04%"
"Oct 15, 2020","105.44","105.14","105.50","105.09","0.28%"
"Oct 14, 2020","105.15","105.48","105.53","105.04","-0.30%"
"Oct 13, 2020","105.47","105.33","105.64","105.28","0.16%"
"Oct 12, 2020","105.30","105.71","105.89","105.24","-0.27%"
"Oct 09, 2020","105.59","106.03","106.05","105.57","-0.40%"
"Oct 08, 2020","106.01","105.96","106.11","105.92","0.05%"
"Oct 07, 2020","105.96","105.64","106.12","105.60","0.32%"
"Oct 06, 2020","105.62","105.74","105.79","105.46","-0.09%"
"Oct 05, 2020","105.72","105.29","105.81","105.29","0.37%"
"Oct 02, 2020","105.33","105.53","105.68","104.93","-0.16%"
"Oct 01, 2020","105.50","105.46","105.75","105.40","0.05%"
"Sep 30, 2020","105.45","105.64","105.81","105.40","-0.18%"
"Sep 29, 2020","105.64","105.50","105.75","105.34","0.14%"
"Sep 28, 2020","105.49","105.51","105.69","105.26","-0.10%"
"Sep 25, 2020","105.60","105.42","105.71","105.24","0.19%"
"Sep 24, 2020","105.40","105.40","105.54","105.20","0.03%"
"Sep 23, 2020","105.37","104.93","105.50","104.89","0.44%"
"Sep 22, 2020","104.91","104.65","105.09","104.40","0.26%"
"Sep 21, 2020","104.64","104.44","104.84","104.00","0.09%"
"Sep 18, 2020","104.55","104.75","104.88","104.26","-0.17%"
"Sep 17, 2020","104.73","104.95","105.18","104.52","-0.20%"
"Sep 16, 2020","104.94","105.44","105.45","104.79","-0.46%"
"Sep 15, 2020","105.43","105.72","105.83","105.29","-0.27%"
"Sep 14, 2020","105.72","106.17","106.21","105.54","-0.40%"
"Sep 11, 2020","106.14","106.13","106.28","106.06","0.01%"
"Sep 10, 2020","106.13","106.21","106.31","105.98","-0.04%"
"Sep 09, 2020","106.17","106.04","106.29","105.78","0.15%"
"Sep 08, 2020","106.01","106.29","106.39","105.86","-0.23%"
"Sep 07, 2020","106.25","106.28","106.39","106.13","0.02%"
"Sep 04, 2020","106.23","106.19","106.51","106.06","0.06%"
"Sep 03, 2020","106.17","106.18","106.57","106.00","-0.01%"
"Sep 02, 2020","106.18","105.96","106.32","105.85","0.22%"
"Sep 01, 2020","105.95","105.93","106.16","105.59","0.06%"
"Aug 31, 2020","105.89","105.36","106.10","105.29","0.52%"
"Aug 28, 2020","105.34","106.57","106.96","105.19","-1.14%"
"Aug 27, 2020","106.55","105.99","106.71","105.61","0.54%"
"Aug 26, 2020","105.98","106.39","106.56","105.95","-0.36%"
"Aug 25, 2020","106.36","105.98","106.59","105.86","0.37%"
"Aug 24, 2020","105.97","105.86","106.01","105.69","0.18%"
"Aug 21, 2020","105.78","105.79","106.08","105.43","-0.01%"
"Aug 20, 2020","105.79","106.11","106.22","105.74","-0.29%"
"Aug 19, 2020","106.10","105.41","106.15","105.10","0.65%"
"Aug 18, 2020","105.42","106.00","106.07","105.28","-0.54%"
"Aug 17, 2020","105.99","106.63","106.67","105.94","-0.56%"
"Aug 14, 2020","106.59","106.90","107.04","106.43","-0.31%"
"Aug 13, 2020","106.92","106.89","107.06","106.56","0.03%"
"Aug 12, 2020","106.89","106.51","107.03","106.44","0.39%"
"Aug 11, 2020","106.48","105.96","106.70","105.92","0.50%"
"Aug 10, 2020","105.95","105.96","106.21","105.71","0.02%"
"Aug 07, 2020","105.93","105.51","106.07","105.47","0.36%"
"Aug 06, 2020","105.55","105.57","105.71","105.29","-0.03%"
"Aug 05, 2020","105.58","105.72","105.89","105.32","-0.13%"
"Aug 04, 2020","105.72","105.96","106.21","105.64","-0.22%"
"Aug 03, 2020","105.96","105.89","106.48","105.57","0.06%"
"Jul 31, 2020","105.89","104.71","106.07","104.18","1.11%"
"Jul 30, 2020","104.74","104.92","105.31","104.68","-0.18%"
"Jul 29, 2020","104.92","105.06","105.25","104.76","-0.16%"
"Jul 28, 2020","105.09","105.36","105.70","104.95","-0.27%"
"Jul 27, 2020","105.38","105.97","106.21","105.11","-0.72%"
"Jul 24, 2020","106.14","106.86","106.92","105.68","-0.68%"
"Jul 23, 2020","106.86","107.15","107.24","106.71","-0.27%"
"Jul 22, 2020","107.15","106.78","107.29","106.71","0.35%"
"Jul 21, 2020","106.78","107.26","107.38","106.68","-0.45%"
"Jul 20, 2020","107.25","107.11","107.53","107.01","0.23%"
"Jul 17, 2020","107.00","107.26","107.37","106.93","-0.25%"
"Jul 16, 2020","107.27","106.93","107.41","106.83","0.31%"
"Jul 15, 2020","106.94","107.23","107.32","106.66","-0.28%"
"Jul 14, 2020","107.25","107.29","107.44","107.11","-0.03%"
"Jul 13, 2020","107.28","106.90","107.33","106.78","0.35%"
"Jul 10, 2020","106.90","107.21","107.27","106.64","-0.28%"
"Jul 09, 2020","107.21","107.31","107.41","107.10","-0.05%"
"Jul 08, 2020","107.26","107.52","107.71","107.19","-0.24%"
"Jul 07, 2020","107.52","107.35","107.80","107.24","0.14%"
"Jul 06, 2020","107.36","107.50","107.78","107.25","-0.13%"
"Jul 03, 2020","107.51","107.50","107.58","107.43","0.01%"
"Jul 02, 2020","107.50","107.47","107.74","107.33","0.02%"
"Jul 01, 2020","107.47","107.93","108.17","107.36","-0.43%"
"Jun 30, 2020","107.93","107.57","108.00","107.52","0.34%"
"Jun 29, 2020","107.57","107.19","107.89","107.04","0.32%"
"Jun 26, 2020","107.22","107.24","107.37","106.79","0.02%"
"Jun 25, 2020","107.20","107.06","107.46","106.99","0.15%"
"Jun 24, 2020","107.04","106.52","107.08","106.38","0.48%"
"Jun 23, 2020","106.53","106.91","107.23","106.07","-0.34%"
"Jun 22, 2020","106.89","106.90","107.02","106.76","0.00%"
"Jun 19, 2020","106.89","106.97","107.07","106.76","-0.08%"
"Jun 18, 2020","106.97","107.00","107.14","106.67","-0.03%"
"Jun 17, 2020","107.00","107.35","107.46","106.95","-0.31%"
"Jun 16, 2020","107.33","107.33","107.64","107.21","0.01%"
"Jun 15, 2020","107.32","107.33","107.58","107.00","-0.03%"
"Jun 12, 2020","107.36","106.88","107.56","106.58","0.46%"
"Jun 11, 2020","106.86","107.13","107.24","106.57","-0.23%"
"Jun 10, 2020","107.11","107.72","107.89","106.99","-0.58%"
"Jun 09, 2020","107.74","108.44","108.55","107.61","-0.64%"
"Jun 08, 2020","108.43","109.68","109.70","108.24","-1.06%"
"Jun 05, 2020","109.59","109.14","109.86","109.04","0.42%"
"Jun 04, 2020","109.14","108.89","109.20","108.61","0.22%"
"Jun 03, 2020","108.90","108.68","109.00","108.42","0.21%"
"Jun 02, 2020","108.68","107.59","108.78","107.50","1.01%"
"Jun 01, 2020","107.59","107.74","107.86","107.38","-0.18%"
"May 29, 2020","107.79","107.67","107.90","107.07","0.13%"
"May 28, 2020","107.64","107.72","107.90","107.57","-0.07%"
"May 27, 2020","107.72","107.54","107.96","107.36","0.16%"
"May 26, 2020","107.54","107.71","107.93","107.40","-0.15%"
"May 25, 2020","107.71","107.58","107.79","107.56","0.07%"
"May 22, 2020","107.63","107.61","107.77","107.32","0.00%"
"May 21, 2020","107.62","107.50","107.86","107.47","0.09%"
"May 20, 2020","107.53","107.71","107.99","107.33","-0.17%"
"May 19, 2020","107.71","107.32","108.09","107.29","0.34%"
"May 18, 2020","107.35","107.08","107.51","107.04","0.29%"
"May 15, 2020","107.04","107.25","107.44","106.85","-0.21%"
"May 14, 2020","107.25","107.04","107.38","106.77","0.21%"
"May 13, 2020","107.03","107.11","107.28","106.74","-0.11%"
"May 12, 2020","107.14","107.68","107.71","107.12","-0.49%"
"May 11, 2020","107.68","106.64","107.78","106.54","0.95%"
"May 08, 2020","106.67","106.29","106.75","106.22","0.36%"
"May 07, 2020","106.29","106.11","106.67","105.99","0.12%"
"May 06, 2020","106.15","106.61","106.64","105.98","-0.41%"
"May 05, 2020","106.60","106.78","106.91","106.42","-0.14%"
"May 04, 2020","106.75","106.82","107.08","106.63","-0.19%"
"May 01, 2020","106.94","107.18","107.41","106.60","-0.22%"
"Apr 30, 2020","107.18","106.71","107.51","106.40","0.44%"
"Apr 29, 2020","106.71","106.88","106.90","106.36","-0.15%"
"Apr 28, 2020","106.88","107.22","107.35","106.56","-0.34%"
"Apr 27, 2020","107.24","107.49","107.64","106.99","-0.26%"
"Apr 24, 2020","107.51","107.58","107.76","107.37","-0.07%"
"Apr 23, 2020","107.60","107.76","108.04","107.34","-0.14%"
"Apr 22, 2020","107.75","107.82","107.94","107.51","-0.03%"
"Apr 21, 2020","107.78","107.63","107.90","107.28","0.14%"
"Apr 20, 2020","107.63","107.57","107.96","107.49","0.09%"
"Apr 17, 2020","107.53","107.96","108.08","107.30","-0.40%"
"Apr 16, 2020","107.96","107.49","108.10","107.17","0.44%"
"Apr 15, 2020","107.49","107.21","107.86","106.93","0.25%"
"Apr 14, 2020","107.21","107.78","107.81","106.97","-0.52%"
"Apr 13, 2020","107.78","108.54","108.54","107.50","-0.65%"
"Apr 10, 2020","108.47","108.54","108.61","108.32","0.00%"
"Apr 09, 2020","108.47","108.82","109.07","108.21","-0.32%"
"Apr 08, 2020","108.82","108.71","109.11","108.50","0.10%"
"Apr 07, 2020","108.71","109.24","109.29","108.67","-0.47%"
"Apr 06, 2020","109.22","108.43","109.39","108.35","0.70%"
"Apr 03, 2020","108.46","107.92","108.69","107.80","0.51%"
"Apr 02, 2020","107.92","107.17","108.11","107.01","0.70%"
"Apr 01, 2020","107.17","107.54","107.95","106.91","-0.35%"
"Mar 31, 2020","107.54","107.76","108.74","107.46","-0.26%"
"Mar 30, 2020","107.82","107.89","108.31","107.11","-0.07%"
"Mar 27, 2020","107.90","109.60","109.71","107.75","-1.54%"
"Mar 26, 2020","109.60","111.21","111.32","109.21","-1.45%"
"Mar 25, 2020","111.21","111.21","111.69","110.75","-0.02%"
"Mar 24, 2020","111.22","111.21","111.72","110.08","0.01%"
"Mar 23, 2020","111.21","111.04","111.61","109.67","0.36%"
"Mar 20, 2020","110.82","110.71","111.52","109.31","0.09%"
"Mar 19, 2020","110.71","108.07","110.96","107.85","2.16%"
"Mar 18, 2020","108.37","107.36","108.65","106.76","0.63%"
"Mar 17, 2020","107.69","105.86","107.88","105.86","1.73%"
"Mar 16, 2020","105.86","107.92","107.92","105.14","-1.91%"
"Mar 13, 2020","107.92","104.62","108.50","104.50","3.13%"
"Mar 12, 2020","104.64","104.56","106.09","103.09","0.09%"
"Mar 11, 2020","104.55","105.66","105.69","104.11","-1.03%"
"Mar 10, 2020","105.64","102.38","105.92","102.00","3.20%"
"Mar 09, 2020","102.36","104.91","104.92","101.19","-2.80%"
"Mar 06, 2020","105.31","106.17","106.36","105.00","-0.81%"
"Mar 05, 2020","106.17","107.53","107.73","105.97","-1.26%"
"Mar 04, 2020","107.53","107.14","107.69","106.86","0.36%"
"Mar 03, 2020","107.14","108.31","108.55","106.94","-1.08%"
"Mar 02, 2020","108.31","107.39","108.58","106.98","0.21%"
"Feb 28, 2020","108.08","109.61","109.69","107.50","-1.38%"
"Feb 27, 2020","109.59","110.42","110.47","109.58","-0.75%"
"Feb 26, 2020","110.42","110.19","110.70","110.12","0.20%"
"Feb 25, 2020","110.20","110.73","111.05","109.89","-0.47%"
"Feb 24, 2020","110.72","111.61","111.69","110.33","-0.77%"
"Feb 21, 2020","111.58","112.11","112.19","111.47","-0.48%"
"Feb 20, 2020","112.12","111.38","112.22","111.11","0.68%"
"Feb 19, 2020","111.36","109.88","111.59","109.84","1.35%"
"Feb 18, 2020","109.88","109.88","109.95","109.66","-0.01%"
"Feb 17, 2020","109.89","109.78","109.97","109.72","0.13%"
"Feb 14, 2020","109.75","109.81","109.92","109.69","-0.05%"
"Feb 13, 2020","109.81","110.09","110.09","109.61","-0.25%"
"Feb 12, 2020","110.08","109.78","110.14","109.77","0.27%"
"Feb 11, 2020","109.78","109.78","109.97","109.72","0.03%"
"Feb 10, 2020","109.75","109.86","109.89","109.56","0.02%"
"Feb 07, 2020","109.73","110.00","110.03","109.53","-0.25%"
"Feb 06, 2020","110.00","109.81","110.00","109.72","0.17%"
"Feb 05, 2020","109.81","109.53","109.86","109.31","0.26%"
"Feb 04, 2020","109.53","108.69","109.56","108.56","0.77%"
"Feb 03, 2020","108.69","108.42","108.81","108.33","0.28%"
"Jan 31, 2020","108.39","108.97","109.14","108.31","-0.53%"
"Jan 30, 2020","108.97","109.02","109.08","108.58","-0.03%"
"Jan 29, 2020","109.00","109.16","109.28","108.97","-0.13%"
"Jan 28, 2020","109.14","108.89","109.20","108.75","0.23%"
"Jan 27, 2020","108.89","109.05","109.14","108.72","-0.36%"
"Jan 24, 2020","109.28","109.48","109.66","109.17","-0.19%"
"Jan 23, 2020","109.49","109.84","109.87","109.26","-0.32%"
"Jan 22, 2020","109.84","109.86","110.10","109.82","-0.04%"
"Jan 21, 2020","109.88","110.19","110.22","109.77","-0.28%"
"Jan 20, 2020","110.19","110.14","110.22","110.03","0.03%"
"Jan 17, 2020","110.16","110.14","110.30","110.05","0.00%"
"Jan 16, 2020","110.16","109.89","110.19","109.86","0.25%"
"Jan 15, 2020","109.89","110.00","110.03","109.78","-0.08%"
"Jan 14, 2020","109.98","109.94","110.22","109.86","0.04%"
"Jan 13, 2020","109.94","109.49","109.95","109.45","0.43%"
"Jan 10, 2020","109.47","109.52","109.70","109.44","-0.05%"
"Jan 09, 2020","109.52","109.12","109.58","109.01","0.35%"
"Jan 08, 2020","109.14","108.42","109.25","107.64","0.65%"
"Jan 07, 2020","108.44","108.38","108.64","108.27","0.06%"
"Jan 06, 2020","108.38","108.00","108.52","107.77","0.27%"
"Jan 03, 2020","108.09","108.56","108.64","107.83","-0.45%"
"Jan 02, 2020","108.58","108.75","108.86","108.20","-0.11%"
"Jan 01, 2020","108.70","108.61","108.75","108.59","0.07%"
"Dec 31, 2019","108.62","108.89","108.89","108.47","-0.24%"
"Dec 30, 2019","108.88","109.47","109.52","108.75","-0.49%"
"Dec 27, 2019","109.42","109.61","109.64","109.39","-0.20%"
"Dec 26, 2019","109.64","109.34","109.69","109.32","0.26%"
"Dec 25, 2019","109.36","109.39","109.42","109.27","-0.03%"
"Dec 24, 2019","109.39","109.39","109.44","109.31","0.00%"
"Dec 23, 2019","109.39","109.41","109.53","109.33","-0.05%"
"Dec 20, 2019","109.44","109.36","109.53","109.25","0.05%"
"Dec 19, 2019","109.38","109.55","109.67","109.17","-0.14%"
"Dec 18, 2019","109.53","109.50","109.62","109.39","0.05%"
"Dec 17, 2019","109.48","109.53","109.64","109.44","-0.02%"
"Dec 16, 2019","109.50","109.39","109.69","109.25","0.11%"
"Dec 13, 2019","109.38","109.31","109.72","108.92","0.06%"
"Dec 12, 2019","109.31","108.57","109.46","108.46","0.69%"
"Dec 11, 2019","108.56","108.72","108.86","108.47","-0.14%"
"Dec 10, 2019","108.71","108.56","108.77","108.51","0.14%"
"Dec 09, 2019","108.56","108.68","108.68","108.42","-0.05%"
"Dec 06, 2019","108.61","108.77","108.92","108.53","-0.14%"
"Dec 05, 2019","108.76","108.86","109.00","108.65","-0.09%"
"Dec 04, 2019","108.86","108.64","108.97","108.42","0.20%"
"Dec 03, 2019","108.64","108.97","109.22","108.48","-0.33%"
"Dec 02, 2019","109.00","109.53","109.73","108.92","-0.47%"
"Nov 29, 2019","109.52","109.50","109.67","109.39","0.00%"
"Nov 28, 2019","109.52","109.55","109.58","109.33","-0.04%"
"Nov 27, 2019","109.56","109.03","109.61","109.00","0.47%"
"Nov 26, 2019","109.05","108.92","109.20","108.88","0.12%"
"Nov 25, 2019","108.92","108.72","108.98","108.64","0.24%"
"Nov 22, 2019","108.66","108.64","108.73","108.47","0.02%"
"Nov 21, 2019","108.64","108.61","108.70","108.28","0.03%"
"Nov 20, 2019","108.61","108.55","108.75","108.34","0.06%"
"Nov 19, 2019","108.55","108.67","108.86","108.45","-0.11%"
"Nov 18, 2019","108.67","108.83","109.08","108.52","-0.07%"
"Nov 15, 2019","108.75","108.41","108.86","108.38","0.31%"
"Nov 14, 2019","108.41","108.83","108.88","108.25","-0.39%"
"Nov 13, 2019","108.83","109.00","109.16","108.66","-0.17%"
"Nov 12, 2019","109.02","109.06","109.31","108.92","-0.04%"
"Nov 11, 2019","109.06","109.20","109.27","108.89","-0.20%"
"Nov 08, 2019","109.28","109.28","109.48","109.08","0.00%"
"Nov 07, 2019","109.28","108.97","109.50","108.66","0.28%"
"Nov 06, 2019","108.97","109.17","109.19","108.81","-0.17%"
"Nov 05, 2019","109.16","108.58","109.25","108.55","0.53%"
"Nov 04, 2019","108.58","108.19","108.66","108.17","0.36%"
"Nov 01, 2019","108.19","108.06","108.33","107.89","0.15%"
"Oct 31, 2019","108.03","108.83","108.91","107.92","-0.74%"
"Oct 30, 2019","108.84","108.89","109.30","108.72","-0.05%"
"Oct 29, 2019","108.89","108.95","109.08","108.77","-0.06%"
"Oct 28, 2019","108.95","108.67","109.05","108.66","0.27%"
"Oct 25, 2019","108.66","108.63","108.79","108.51","0.05%"
"Oct 24, 2019","108.61","108.67","108.75","108.48","-0.07%"
"Oct 23, 2019","108.69","108.50","108.72","108.25","0.19%"
"Oct 22, 2019","108.48","108.61","108.73","108.44","-0.12%"
"Oct 21, 2019","108.61","108.47","108.67","108.30","0.17%"
"Oct 18, 2019","108.43","108.66","108.73","108.38","-0.22%"
"Oct 17, 2019","108.67","108.77","108.94","108.47","-0.09%"
"Oct 16, 2019","108.77","108.86","108.88","108.57","-0.08%"
"Oct 15, 2019","108.86","108.42","108.91","108.16","0.43%"
"Oct 14, 2019","108.39","108.36","108.53","108.03","-0.03%"
"Oct 11, 2019","108.42","107.98","108.62","107.84","0.42%"
"Oct 10, 2019","107.97","107.47","108.03","107.03","0.47%"
"Oct 09, 2019","107.47","107.08","107.64","106.94","0.36%"
"Oct 08, 2019","107.08","107.30","107.45","106.81","-0.21%"
"Oct 07, 2019","107.30","106.97","107.47","106.56","0.34%"
"Oct 04, 2019","106.94","106.92","107.14","106.58","0.02%"
"Oct 03, 2019","106.92","107.19","107.31","106.48","-0.24%"
"Oct 02, 2019","107.18","107.73","107.90","107.04","-0.53%"
"Oct 01, 2019","107.75","108.08","108.47","107.62","-0.31%"
"Sep 30, 2019","108.08","107.92","108.19","107.75","0.13%"
"Sep 27, 2019","107.94","107.83","108.19","107.66","0.10%"
"Sep 26, 2019","107.83","107.78","107.97","107.42","0.05%"
"Sep 25, 2019","107.78","107.06","107.89","107.00","0.67%"
"Sep 24, 2019","107.06","107.55","107.80","106.97","-0.46%"
"Sep 23, 2019","107.56","107.53","107.78","107.31","0.00%"
"Sep 20, 2019","107.56","108.02","108.09","107.53","-0.43%"
"Sep 19, 2019","108.02","108.45","108.47","107.78","-0.40%"
"Sep 18, 2019","108.45","108.12","108.48","108.08","0.29%"
"Sep 17, 2019","108.14","108.11","108.38","108.03","0.00%"
"Sep 16, 2019","108.14","107.67","108.17","107.48","0.06%"
"Sep 13, 2019","108.08","108.09","108.28","107.92","-0.03%"
"Sep 12, 2019","108.11","107.83","108.19","107.52","0.26%"
"Sep 11, 2019","107.83","107.55","107.86","107.50","0.26%"
"Sep 10, 2019","107.55","107.25","107.59","107.19","0.28%"
"Sep 09, 2019","107.25","106.83","107.28","106.77","0.31%"
"Sep 06, 2019","106.92","106.95","107.11","106.62","0.00%"
"Sep 05, 2019","106.92","106.36","107.22","106.31","0.50%"
"Sep 04, 2019","106.39","105.94","106.44","105.83","0.42%"
"Sep 03, 2019","105.94","106.23","106.40","105.74","-0.26%"
"Sep 02, 2019","106.22","106.25","106.41","105.92","-0.08%"
"Aug 30, 2019","106.31","106.50","106.56","106.11","-0.20%"
"Aug 29, 2019","106.52","106.12","106.69","105.83","0.38%"
"Aug 28, 2019","106.12","105.75","106.23","105.66","0.37%"
"Aug 27, 2019","105.73","106.16","106.17","105.59","-0.39%"
"Aug 26, 2019","106.14","105.14","106.41","104.45","0.69%"
"Aug 23, 2019","105.41","106.44","106.75","105.27","-0.97%"
"Aug 22, 2019","106.44","106.61","106.66","106.25","-0.17%"
"Aug 21, 2019","106.62","106.22","106.66","106.22","0.37%"
"Aug 20, 2019","106.23","106.63","106.69","106.17","-0.38%"
"Aug 19, 2019","106.64","106.34","106.70","106.25","0.24%"
"Aug 16, 2019","106.38","106.12","106.50","106.03","0.25%"
"Aug 15, 2019","106.12","105.92","106.78","105.70","0.20%"
"Aug 14, 2019","105.91","106.75","106.78","105.66","-0.79%"
"Aug 13, 2019","106.75","105.31","106.98","105.06","1.37%"
"Aug 12, 2019","105.31","105.58","105.70","105.05","-0.34%"
"Aug 09, 2019","105.67","106.08","106.12","105.27","-0.39%"
"Aug 08, 2019","106.08","106.28","106.31","105.89","-0.19%"
"Aug 07, 2019","106.28","106.48","106.48","105.50","-0.19%"
"Aug 06, 2019","106.48","105.94","107.08","105.53","0.50%"
"Aug 05, 2019","105.95","106.59","106.69","105.78","-0.60%"
"Aug 02, 2019","106.59","107.34","107.58","106.50","-0.70%"
"Aug 01, 2019","107.34","108.80","109.33","107.27","-1.30%"
"Jul 31, 2019","108.75","108.61","109.00","108.50","0.13%"
"Jul 30, 2019","108.61","108.78","108.95","108.45","-0.16%"
"Jul 29, 2019","108.78","108.69","108.91","108.42","0.10%"
"Jul 26, 2019","108.67","108.64","108.83","108.56","0.03%"
"Jul 25, 2019","108.64","108.19","108.77","108.03","0.42%"
"Jul 24, 2019","108.19","108.22","108.28","107.94","-0.03%"
"Jul 23, 2019","108.22","107.84","108.30","107.83","0.32%"
"Jul 22, 2019","107.88","107.80","108.08","107.70","0.15%"
"Jul 19, 2019","107.72","107.30","107.97","107.22","0.39%"
"Jul 18, 2019","107.30","107.94","108.02","107.20","-0.59%"
"Jul 17, 2019","107.94","108.25","108.33","107.94","-0.28%"
"Jul 16, 2019","108.24","107.92","108.39","107.83","0.30%"
"Jul 15, 2019","107.92","107.88","108.11","107.80","0.01%"
"Jul 12, 2019","107.91","108.48","108.61","107.80","-0.54%"
"Jul 11, 2019","108.50","108.47","108.53","107.86","0.03%"
"Jul 10, 2019","108.47","108.84","108.98","108.33","-0.36%"
"Jul 09, 2019","108.86","108.72","108.97","108.67","0.13%"
"Jul 08, 2019","108.72","108.44","108.81","108.28","0.23%"
"Jul 05, 2019","108.47","107.81","108.64","107.78","0.61%"
"Jul 04, 2019","107.81","107.80","107.86","107.71","-0.02%"
"Jul 03, 2019","107.83","107.89","107.93","107.53","-0.06%"
"Jul 02, 2019","107.89","108.44","108.48","107.77","-0.51%"
"Jul 01, 2019","108.44","108.11","108.55","108.11","0.51%"
"Jun 28, 2019","107.89","107.80","107.94","107.56","0.08%"
"Jun 27, 2019","107.80","107.80","108.17","107.64","0.02%"
"Jun 26, 2019","107.78","107.19","107.86","107.09","0.55%"
"Jun 25, 2019","107.19","107.31","107.42","106.78","-0.10%"
"Jun 24, 2019","107.30","107.41","107.55","107.25","-0.01%"
"Jun 21, 2019","107.31","107.31","107.75","107.06","0.00%"
"Jun 20, 2019","107.31","108.09","108.14","107.22","-0.74%"
"Jun 19, 2019","108.11","108.45","108.62","107.91","-0.31%"
"Jun 18, 2019","108.45","108.55","108.69","108.06","-0.10%"
"Jun 17, 2019","108.56","108.44","108.72","108.41","0.00%"
"Jun 14, 2019","108.56","108.38","108.59","108.16","0.16%"
"Jun 13, 2019","108.39","108.52","108.55","108.17","-0.10%"
"Jun 12, 2019","108.50","108.52","108.58","108.22","-0.02%"
"Jun 11, 2019","108.52","108.45","108.81","108.36","0.07%"
"Jun 10, 2019","108.44","108.56","108.72","108.33","0.23%"
"Jun 07, 2019","108.19","108.42","108.62","107.89","-0.21%"
"Jun 06, 2019","108.42","108.47","108.58","108.03","-0.05%"
"Jun 05, 2019","108.47","108.14","108.50","107.81","0.31%"
"Jun 04, 2019","108.14","108.08","108.36","107.83","0.06%"
"Jun 03, 2019","108.08","108.38","108.45","107.89","-0.18%"
"May 31, 2019","108.28","109.62","109.64","108.28","-1.21%"
"May 30, 2019","109.61","109.61","109.94","109.47","0.02%"
"May 29, 2019","109.59","109.38","109.70","109.14","0.19%"
"May 28, 2019","109.38","109.50","109.64","109.22","-0.13%"
"May 27, 2019","109.52","109.31","109.59","109.28","0.19%"
"May 24, 2019","109.31","109.61","109.75","109.28","-0.27%"
"May 23, 2019","109.61","110.36","110.38","109.47","-0.68%"
"May 22, 2019","110.36","110.48","110.64","110.25","-0.13%"
"May 21, 2019","110.50","110.06","110.69","110.03","0.40%"
"May 20, 2019","110.06","110.14","110.33","109.81","-0.02%"
"May 17, 2019","110.08","109.86","110.19","109.50","0.20%"
"May 16, 2019","109.86","109.61","109.97","109.33","0.25%"
"May 15, 2019","109.59","109.61","109.72","109.16","-0.02%"
"May 14, 2019","109.61","109.30","109.78","109.14","0.27%"
"May 13, 2019","109.31","109.75","109.84","109.02","-0.57%"
"May 10, 2019","109.94","109.75","110.05","109.47","0.16%"
"May 09, 2019","109.76","110.10","110.13","109.47","-0.32%"
"May 08, 2019","110.11","110.25","110.31","109.89","-0.13%"
"May 07, 2019","110.25","110.78","110.86","110.17","-0.48%"
"May 06, 2019","110.78","110.62","110.99","110.28","-0.30%"
"May 03, 2019","111.11","111.52","111.69","111.06","-0.37%"
"May 02, 2019","111.52","111.39","111.67","111.36","0.12%"
"May 01, 2019","111.39","111.44","111.62","111.05","-0.03%"
"Apr 30, 2019","111.42","111.66","111.70","111.23","-0.20%"
"Apr 29, 2019","111.64","111.61","111.91","111.53","0.04%"
"Apr 26, 2019","111.59","111.64","112.03","111.42","-0.04%"
"Apr 25, 2019","111.64","112.19","112.25","111.39","-0.49%"
"Apr 24, 2019","112.19","111.86","112.41","111.69","0.30%"
"Apr 23, 2019","111.86","111.94","112.03","111.64","-0.07%"
"Apr 22, 2019","111.94","111.93","111.99","111.85","0.02%"
"Apr 19, 2019","111.92","111.97","112.01","111.88","-0.04%"
"Apr 18, 2019","111.97","112.06","112.08","111.77","-0.08%"
